kind	subject	result	value	provenance	action
measurement	artifact-authoring-minutes	not-recoverable	elapsed authoring and approval minutes were not recorded	session:notes/journal/2026-09-14.md	record timed authoring in a future authorized trial
measurement	independent-review-field-change-rate	not-recoverable	no before-and-after field snapshots were recorded	session:notes/journal/2026-09-14.md	collect paired revisions in a future authorized review
measurement	ambiguous-obligations-preimplementation	not-recoverable	no dated preimplementation ambiguity count exists	session:notes/journal/2026-09-14.md	collect the count before a future implementation
measurement	false-or-missing-commit-intent-links	measured	40 missing exact claims among 40 applicable commits	artifact:docs/verification/p6-intent-applicability-canary.md;command:scripts/p6-intent-canary.sh	retain the historical observation-only status
measurement	verdict-evidence-mismatches	measured	0 mismatches in the accepted P5 obligation verdict	artifact:docs/verification/verdicts/p5-obligation-verdict-round1.md;command:scripts/p6-artifact-integrity.sh --check	re-evaluate on the next independent verdict
measurement	gate-canary-false-block-pass	measured	false-block=0 false-pass=0; seeded missing-intent block=1 positive boundary=1	artifact:docs/verification/p6-intent-coverage.md;command:scripts/tests/intent-delivery-applicability.test.sh	keep the delivery boundary explicit
measurement	empty-store-reconstruction-time	not-recoverable	fresh-clone evidence recorded outcomes but no reconstruction timing datum	artifact:docs/verification/p6-fresh-clone-linux.md;session:notes/journal/2026-09-14.md	run timed reconstruction in a future authorized acceptance
measurement	provider-mapping-conformance	measured	records valid=3; specdir valid=2; unmappable STOP=1	artifact:docs/verification/p6-event-route-matrix.md;command:go test ./internal/connector/intent/...	preserve STOP behavior and expand only with an authorized provider
measurement	requirement-review-findings	measured	2 findings across 1 exact requirement review	artifact:docs/verification/verdicts/p5-requirement-review-round1.md;command:scripts/p6-task5-review.sh --check	reassess after more non-author reviews
falsifier	chain-maintenance-cost	indeterminate	no three-change timed maintenance series exists	session:notes/journal/2026-09-14.md	collect three consecutive change timings before a redesign decision
falsifier	artifact-role-confusion	false	strict schemas, documentary distinction, and integrity checks showed no role confusion	artifact:docs/verification/p6-artifact-integrity.md;command:scripts/p6-artifact-integrity.sh --check	no action; retain distinct schemas
falsifier	subjective-obligation-outcomes	indeterminate	fewer than three accepted changes with independent outcome evidence are available	artifact:docs/verification/verdicts/p5-obligation-verdict-round1.md;session:notes/journal/2026-09-14.md	sample three accepted changes before judging
falsifier	old-meaning-reconstruction	false	fresh-clone replay and five-record migration recovered exact prerequisites	artifact:docs/verification/p6-fresh-clone-linux.md;artifact:docs/verification/p6-historical-evidence.jsonl	retain frozen identities and migration-only import
falsifier	applicability-boundary	false	0 known false negatives and 0.0% false positives under the ratified canary	artifact:docs/verification/p6-intent-applicability-canary.md;command:scripts/p6-intent-canary.sh	keep the ratified threshold before broader enforcement
falsifier	foreign-provider-schema-change	false	unmappable fixture stopped without a canonical schema change	artifact:docs/verification/p6-event-route-matrix.md;command:go test ./internal/connector/intent/specdir	preserve STOP and do not bend the canonical schema
falsifier	requirement-review-rubber-stamp	indeterminate	one review with two findings is insufficient to evaluate a many-review trend	artifact:docs/verification/verdicts/p5-requirement-review-round1.md;session:notes/journal/2026-09-14.md	collect a multi-review finding trend before redesign or retirement
