# universe-profile	proofbound
# accepted-plan	docs/plans/P1-flight-recorder-plan.md
# accepted-plan	docs/plans/P5-PROOFBOUND-INTENT-PROVENANCE-v3.md
# accepted-plan	docs/plans/P6-CONSOLIDATION-PLAN-draft2.md
row_id	category	subject	observation	probe	disposition	decision	evidence
C1-001	C1	README-phase-status	README phase status does not yet state accepted P5 and active P6 consolidation.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-002	C1	mechanism:make backup	A live authority names a Make target absent from the current Makefile.	make-target:backup	close-in-P6	—	scripts/backup.sh,scripts/tests/operational-tools.test.sh
C1-003	C1	mechanism:make meta-tax	A live authority names a Make target absent from the current Makefile.	make-target:meta-tax	close-in-P6	—	scripts/meta-tax.sh,scripts/tests/operational-tools.test.sh
C1-004	C1	mechanism:make wrap-verify	A live authority names a Make target absent from the current Makefile.	make-target:wrap-verify	close-in-P6	—	scripts/wrap-verify.sh,scripts/tests/operational-tools.test.sh
C1-005	C1	mechanism:make laws-lock	A live authority names a Make target absent from the current Makefile.	make-target:laws-lock	close-in-P6	—	scripts/gen-laws-lock.sh,scripts/tests/law-citation-lint.test.sh
C1-006	C1	mechanism:make state	A live authority names a Make target absent from the current Makefile.	make-target:state	close-in-P6	—	scripts/gen-state.sh,scripts/tests/operational-tools.test.sh
C1-007	C1	mechanism:make vera	A live authority names a Make target absent from the current Makefile.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-008	C1	mechanism:.claude/hooks/block-generated-edit.sh	The generated-file edit hook and hostile self-test are tracked and wired.	path:.claude/hooks/block-generated-edit.sh	close-in-P6	—	scripts/tests/claude-hooks.test.sh
C1-009	C1	mechanism:.claude/hooks/block-secrets.sh	The secret and force-push hook fails closed on missing jq and has hostile controls.	path:.claude/hooks/block-secrets.sh	close-in-P6	—	scripts/tests/claude-hooks.test.sh
C1-010	C1	mechanism:.claude/hooks/lint-on-write.sh	The Markdown feedback hook is tracked, wired, and self-tested.	path:.claude/hooks/lint-on-write.sh	close-in-P6	—	scripts/tests/claude-hooks.test.sh
C1-011	C1	mechanism:.claude/hooks/stop-check.sh	The stop feedback hook reports dirty and stale state without claiming an ambient block.	path:.claude/hooks/stop-check.sh	close-in-P6	—	scripts/tests/claude-hooks.test.sh
C1-012	C1	mechanism:scripts/cleanroom-lint.sh	A live authority named an exact path that has now been restored.	path:scripts/cleanroom-lint.sh	close-in-P6	—	scripts/cleanroom-lint.sh,scripts/tests/cleanroom-lint.test.sh
C1-013	C1	mechanism:scripts/commit-cadence.sh	A live authority names an exact path absent from the tracked tree.	path:scripts/commit-cadence.sh	close-in-P6	—	scripts/commit-cadence.sh,scripts/tests/commit-cadence.test.sh
C1-014	C1	mechanism:scripts/figure-provenance.sh	A live authority named an exact path that has now been restored.	path:scripts/figure-provenance.sh	close-in-P6	—	scripts/figure-provenance.sh,scripts/tests/figure-provenance.test.sh
C1-015	C1	mechanism:scripts/gen-state.sh	A live authority names an exact path absent from the tracked tree.	path:scripts/gen-state.sh	close-in-P6	—	scripts/gen-state.sh,scripts/tests/operational-tools.test.sh
C1-016	C1	mechanism:scripts/invariant-lint.sh	A live authority named an exact path that has now been restored.	path:scripts/invariant-lint.sh	close-in-P6	—	scripts/invariant-lint.sh,scripts/tests/invariant-lint.test.sh
C1-017	C1	mechanism:scripts/lesson-recurrence.sh	A live authority named an exact path that has now been restored.	path:scripts/lesson-recurrence.sh	close-in-P6	—	scripts/lesson-recurrence.sh,scripts/tests/lesson-recurrence.test.sh
C1-018	C1	mechanism:scripts/prescription-lint.sh	A live authority named an exact path that has now been restored.	path:scripts/prescription-lint.sh	close-in-P6	—	scripts/prescription-lint.sh,scripts/tests/prescription-lint.test.sh
C1-019	C1	mechanism:scripts/skip-lint.sh	A live authority named an exact path that has now been restored.	path:scripts/skip-lint.sh	close-in-P6	—	scripts/skip-lint.sh,scripts/tests/skip-lint.test.sh
C1-020	C1	mechanism:scripts/state-freshness.sh	A live authority names an exact path absent from the tracked tree.	path:scripts/state-freshness.sh	close-in-P6	—	scripts/state-freshness.sh,scripts/tests/state-freshness.test.sh
C1-021	C1	mechanism:scripts/tests/cleanroom-lint.test.sh	A live authority named an exact path that has now been restored.	path:scripts/tests/cleanroom-lint.test.sh	close-in-P6	—	scripts/tests/cleanroom-lint.test.sh
C1-022	C1	mechanism:scripts/tests/commit-cadence.test.sh	A live authority names an exact path absent from the tracked tree.	path:scripts/tests/commit-cadence.test.sh	close-in-P6	—	scripts/tests/commit-cadence.test.sh
C1-023	C1	mechanism:scripts/tests/figure-provenance.test.sh	A live authority named an exact path that has now been restored.	path:scripts/tests/figure-provenance.test.sh	close-in-P6	—	scripts/tests/figure-provenance.test.sh
C1-024	C1	mechanism:scripts/tests/lesson-recurrence.test.sh	A live authority named an exact path that has now been restored.	path:scripts/tests/lesson-recurrence.test.sh	close-in-P6	—	scripts/tests/lesson-recurrence.test.sh
C1-025	C1	mechanism:scripts/tests/prescription-lint.test.sh	A live authority named an exact path that has now been restored.	path:scripts/tests/prescription-lint.test.sh	close-in-P6	—	scripts/tests/prescription-lint.test.sh
C1-026	C1	mechanism:scripts/tests/skip-lint.test.sh	A live authority named an exact path that has now been restored.	path:scripts/tests/skip-lint.test.sh	close-in-P6	—	scripts/tests/skip-lint.test.sh
C1-027	C1	mechanism:scripts/tests/state-freshness.test.sh	A live authority names an exact path absent from the tracked tree.	path:scripts/tests/state-freshness.test.sh	close-in-P6	—	scripts/tests/state-freshness.test.sh
C1-028	C1	undocumented-make:check-witnessed	A public Make target is not documented in README.md or CLAUDE.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-029	C1	undocumented-make:verify	A public Make target is not documented in README.md or CLAUDE.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-030	C1	undocumented-make:gates-canary	A public Make target is not documented in README.md or CLAUDE.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-031	C1	undocumented-make:gates-enforce	A public Make target is not documented in README.md or CLAUDE.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-032	C1	undocumented-make:invariants-lock	A public Make target is not documented in README.md or CLAUDE.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
C1-033	C1	undocumented-make:identity-inventory	A public Make target is not documented in README.md or CLAUDE.md.	artifact:docs/verification/p6-c1-c2-closure.md	close-in-P6	—	docs/verification/p6-c1-c2-closure.md
